Cpu name,Cores,Threads
Intel(R) Pentium(R) CPU  N3540  @ 2.16GHz,4.0,4.0
AMD Athlon(tm) 5350 APU with Radeon(tm) R3,4.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,4.0,4.0
No-Info,2.0,2.0
C-QuadCore C4610@2.0GHz,1.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,1.0,1.0
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,4.0,4.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
No-Info,4.0,4.0
No-Info,2.0,2.0
No-Info,-1.0,1.0
Intel(R) Celeron(R) CPU  N3050  @ 1.60GHz,2.0,2.0
No-Info,2.0,2.0
No-Info,-1.0,1.0
No-Info,-1.0,1.0
