Cpu name,Cores,Average
No-Info,-1,3800
No-Info,-1,3800
No-Info,-1,3672
No-Info,1,3551
Intel(R) Atom(TM) x5-Z8350  CPU @ 1.44GHz,4,3534
No-Info,-1,3518
No-Info,-1,3324
No-Info,-1,3291
No-Info,4,3254
No-Info,2,3026
No-Info,-1,2879
Intel(R) Celeron(R) CPU  N3050  @ 1.60GHz,2,2330
No-Info,2,2213
No-Info,-1,1888
No-Info,-1,1452
